Date,Open,High,Low,Close_,AdjClose__,Volume
"Mar 27, 1987","2,040.40","2,060.30","2,040.40","2,048.60","2,048.60",
"Mar 26, 1987","2,042.90","2,045.70","2,021.20","2,037.80","2,037.80",
"Mar 25, 1987","2,056.20","2,058.20","2,034.60","2,042.90","2,042.90",
"Mar 24, 1987","2,049.50","2,064.50","2,049.50","2,056.20","2,056.20",
"Mar 23, 1987","2,017.50","2,033.20","2,008.60","2,033.00","2,033.00",
"Mar 20, 1987","2,002.00","2,017.80","2,002.00","2,017.50","2,017.50",
"Mar 19, 1987","2,000.60","2,000.60","1,985.80","1,991.00","1,991.00",
"Mar 18, 1987","2,006.30","2,019.00","2,004.10","2,006.60","2,006.60",
"Mar 17, 1987","1,991.80","2,021.00","1,991.50","2,006.30","2,006.30",
"Mar 16, 1987","1,999.40","1,999.40","1,989.80","1,991.80","1,991.80",
"Mar 13, 1987","1,995.70","2,004.30","1,995.70","2,000.00","2,000.00",
"Mar 12, 1987","1,979.40","1,989.70","1,973.70","1,989.70","1,989.70",
"Mar 11, 1987","1,987.70","1,995.30","1,977.60","1,979.40","1,979.40",
"Mar 10, 1987","1,973.70","1,987.90","1,965.70","1,987.70","1,987.70",
"Mar 09, 1987","1,991.00","1,991.00","1,969.50","1,973.70","1,973.70",
"Mar 06, 1987","1,998.70","1,998.70","1,987.90","1,998.20","1,998.20",
"Mar 05, 1987","2,002.70","2,013.50","1,999.70","2,002.80","2,002.80",
"Mar 04, 1987","2,001.80","2,021.50","2,001.80","2,002.70","2,002.70",
"Mar 03, 1987","1,983.10","1,998.30","1,967.70","1,998.30","1,998.30",
"Mar 02, 1987","1,981.30","1,998.10","1,981.30","1,983.10","1,983.10",
"Feb 27, 1987","1,980.20","1,985.80","1,967.00","1,979.20","1,979.20",
"Feb 26, 1987","1,973.10","1,995.30","1,963.40","1,980.20","1,980.20",
"Feb 25, 1987","1,954.40","1,973.10","1,954.40","1,973.10","1,973.10",
"Feb 24, 1987","1,939.70","1,946.90","1,924.50","1,946.80","1,946.80",
"Feb 23, 1987","1,958.50","1,958.50","1,932.90","1,939.70","1,939.70",
"Feb 20, 1987","1,940.80","1,963.20","1,940.80","1,961.50","1,961.50",
"Feb 19, 1987","1,952.00","1,956.10","1,917.10","1,930.10","1,930.10",
"Feb 18, 1987","1,952.00","1,977.40","1,952.00","1,952.00","1,952.00",
"Feb 17, 1987","1,927.20","1,943.60","1,927.20","1,942.00","1,942.00",
"Feb 16, 1987","1,909.60","1,927.30","1,909.60","1,925.80","1,925.80",
"Feb 13, 1987","1,878.60","1,898.40","1,872.60","1,898.10","1,898.10",
"Feb 12, 1987","1,895.80","1,907.60","1,876.40","1,878.60","1,878.60",
"Feb 11, 1987","1,879.80","1,904.10","1,879.80","1,895.80","1,895.80",
"Feb 10, 1987","1,902.10","1,902.10","1,874.30","1,874.90","1,874.90",
"Feb 09, 1987","1,903.90","1,925.20","1,903.90","1,910.70","1,910.70",
"Feb 06, 1987","1,874.50","1,898.40","1,874.50","1,898.40","1,898.40",
"Feb 05, 1987","1,852.10","1,866.10","1,852.10","1,866.10","1,866.10",
"Feb 04, 1987","1,828.60","1,846.70","1,822.60","1,846.70","1,846.70",
"Feb 03, 1987","1,832.80","1,834.20","1,822.50","1,828.60","1,828.60",
"Feb 02, 1987","1,821.50","1,835.00","1,821.50","1,832.80","1,832.80",
"Jan 30, 1987","1,798.10","1,814.00","1,797.40","1,808.30","1,808.30",
"Jan 29, 1987","1,812.10","1,817.00","1,795.40","1,798.10","1,798.10",
"Jan 28, 1987","1,814.40","1,815.80","1,806.40","1,812.10","1,812.10",
"Jan 27, 1987","1,791.40","1,814.40","1,791.40","1,814.40","1,814.40",
"Jan 26, 1987","1,786.10","1,786.10","1,775.10","1,781.80","1,781.80",
"Jan 23, 1987","1,780.30","1,795.30","1,780.30","1,795.30","1,795.30",
"Jan 22, 1987","1,761.60","1,781.70","1,756.50","1,777.50","1,777.50",
"Jan 21, 1987","1,768.90","1,768.90","1,753.00","1,761.60","1,761.60",
"Jan 20, 1987","1,778.40","1,789.20","1,777.50","1,778.90","1,778.90",
"Jan 19, 1987","1,788.40","1,788.40","1,775.50","1,778.40","1,778.40",
"Jan 16, 1987","1,789.00","1,806.90","1,782.10","1,789.00","1,789.00",
"Jan 15, 1987","1,769.50","1,789.60","1,769.50","1,789.00","1,789.00",
"Jan 14, 1987","1,763.30","1,765.20","1,746.30","1,765.20","1,765.20",
"Jan 13, 1987","1,762.20","1,774.40","1,762.20","1,763.30","1,763.30",
"Jan 12, 1987","1,752.30","1,760.80","1,750.50","1,755.60","1,755.60",
"Jan 09, 1987","1,737.30","1,752.30","1,737.30","1,752.30","1,752.30",
"Jan 08, 1987","1,732.30","1,745.80","1,732.30","1,733.10","1,733.10",
"Jan 07, 1987","1,692.80","1,722.20","1,692.80","1,722.20","1,722.20",
"Jan 06, 1987","1,680.00","1,690.80","1,676.50","1,690.70","1,690.70",
"Jan 05, 1987","1,681.10","1,683.20","1,676.00","1,680.00","1,680.00",
"Jan 02, 1987","1,679.00","1,681.20","1,674.50","1,681.10","1,681.10",
"Jan 01, 1987",,,,,,
